lon,lat,unique_vessels,total_hours
75.05,-47.45,1,0
75.05,-47.349999999999994,1,1.4566666666666668
75.05,-40.05,1,1.1355555555555557
75.05,-37.45,1,1.2361111111111112
75.05,-36.849999999999994,1,1.0972222222222223
75.05,-36.349999999999994,1,1.1491666666666667
75.05,-36.150000000000006,1,0
75.05,-34.849999999999994,1,1.2194444444444446
75.05,-33.55,1,1.1325
75.05,-33.45,1,0
75.05,-33.349999999999994,1,0
75.05,-33.25,2,1.145
75.05,-32.95,1,0
75.05,-32.849999999999994,1,1.1222222222222222
75.05,-32.75,1,1.1502777777777777
75.05,-32.650000000000006,1,1.2166666666666666
75.05,-32.55,1,0
75.05,-32.05,1,0
75.05,-31.65,1,0
75.05,-29.95,3,2.419722222222222
75.05,-29.65,2,1.5219444444444445
75.05,-29.55,2,2.575
75.05,-29.45,1,0
75.05,-29.35,1,1.1716666666666666
75.05,-29.05,1,1.4730555555555556
75.05,-28.95,2,3.4155555555555552
75.05,-28.75,4,4.464166666666666
75.05,-28.55,3,2.1805555555555554
75.05,-28.45,2,2.8741666666666665
75.05,-28.35,2,2.3391666666666664
75.05,-28.25,2,2.264444444444444
75.05,-27.75,1,0
75.05,-27.65,5,2.6080555555555556
75.05,-27.45,2,1.2419444444444445
75.05,-27.35,4,2.167777777777778
75.05,-27.25,1,1.2997222222222222
75.05,-27.05,1,1.2694444444444444
75.05,-26.95,2,2.3472222222222223
75.05,-26.85,1,1.4422222222222223
75.05,-26.75,1,1.2583333333333333
75.05,-26.05,2,2.25
75.05,-25.95,1,0
75.05,-25.65,2,1.1419444444444444
75.05,-25.55,1,0
75.05,-25.25,1,0
75.05,-25.15,1,1.1277777777777778
75.05,-25.05,2,2.5022222222222226
75.05,-24.95,1,0
75.05,-24.65,3,1.3275
75.05,-24.45,1,1.196388888888889
75.05,-24.25,2,2.3897222222222223
75.05,-24.15,1,1.1941666666666666
75.05,-23.95,4,4.583333333333333
75.05,-23.85,3,3.1227777777777774
75.05,-23.65,4,3.602777777777778
75.05,-23.55,1,1.2302777777777778
75.05,-23.45,3,2.236111111111111
75.05,-23.35,2,1.1716666666666666
75.05,-23.25,5,5.938888888888889
75.05,-23.15,2,2.3088888888888888
75.05,-23.05,3,2.1975
75.05,-22.95,7,5.839722222222222
75.05,-22.85,4,2.289722222222222
75.05,-22.75,2,1.0330555555555556
75.05,-22.65,1,0
75.05,-22.55,4,4.9275
75.05,-22.45,2,1.1108333333333333
75.05,-22.25,1,1.3030555555555556
75.05,-22.15,1,1.2133333333333334
75.05,-22.05,1,1.1972222222222222
75.05,-21.95,2,1.1516666666666666
75.05,-21.85,1,1.4416666666666667
75.05,-21.75,3,3.3525
75.05,-21.65,1,1.1336111111111111
75.05,-21.55,1,1.1141666666666667
75.05,-21.35,1,1.1419444444444444
75.05,-21.25,1,1.2555555555555555
75.05,-21.05,1,1.091388888888889
