lon,lat,unique_vessels,total_hours
75.05,-34.349999999999994,1,0
75.05,-33.849999999999994,1,1.2338888888888888
75.05,-33.150000000000006,2,1.2058333333333333
75.05,-32.45,1,1.2161111111111111
75.05,-32.150000000000006,1,1.1055555555555556
75.05,-31.85,1,1.0444444444444445
75.05,-30.85,1,0
75.05,-30.35,1,1.6494444444444445
75.05,-30.05,1,0
75.05,-29.95,4,2.3166666666666664
75.05,-29.65,1,1.0280555555555555
75.05,-29.55,2,1.0347222222222223
75.05,-29.45,2,2.2175000000000002
75.05,-29.25,1,0
75.05,-29.15,1,1.1891666666666667
75.05,-29.05,1,1.2280555555555555
75.05,-28.95,3,2.3644444444444446
75.05,-28.85,1,1.1444444444444444
75.05,-28.75,4,3.5083333333333337
75.05,-28.65,3,3.4541666666666666
75.05,-28.55,2,2.200277777777778
75.05,-28.45,1,0
75.05,-27.95,1,0
75.05,-27.85,1,1.1413888888888888
75.05,-27.65,1,0
75.05,-27.55,1,0
75.05,-27.15,1,1.0583333333333333
75.05,-27.05,1,1.1802777777777778
75.05,-26.95,2,2.2666666666666666
75.05,-26.85,1,0
75.05,-26.75,1,1.1636111111111112
75.05,-26.45,1,0
75.05,-26.15,1,0
75.05,-25.95,1,1.0108333333333333
75.05,-25.75,1,0
75.05,-25.55,1,1.1752777777777779
75.05,-25.45,1,0
75.05,-25.25,1,1.238611111111111
75.05,-25.05,1,1.041388888888889
75.05,-24.95,2,2.3255555555555554
75.05,-24.85,1,0
75.05,-24.75,2,0
75.05,-24.45,1,1.2
75.05,-24.25,2,1.201111111111111
75.05,-24.05,2,1.113611111111111
75.05,-23.95,4,3.6855555555555553
75.05,-23.85,2,1.4336111111111112
75.05,-23.75,1,1.061388888888889
75.05,-23.55,1,1.1430555555555555
75.05,-23.45,6,7.0183333333333335
75.05,-23.35,5,4.743333333333333
75.05,-23.25,5,4.419444444444444
75.05,-23.15,2,2.4608333333333334
75.05,-23.05,2,2.4055555555555554
75.05,-22.95,1,1.17
75.05,-22.85,4,4.62
75.05,-22.75,5,5.548333333333334
75.05,-22.65,2,2.1719444444444442
75.05,-22.55,1,1.2441666666666666
75.05,-22.05,2,1.1355555555555557
75.05,-21.95,1,0
75.05,-21.85,1,1.136111111111111
75.05,-21.75,1,1.2055555555555555
75.05,-21.65,1,1.1472222222222221
75.05,-21.35,1,1.0227777777777778
75.05,-21.25,1,1.3444444444444446
75.05,-21.15,1,0
75.05,-21.05,1,0
75.05,-20.35,1,1.1336111111111111
75.05,-20.05,2,2.363888888888889
75.05,-19.65,1,1.111388888888889
75.05,-18.95,1,0
75.05,-18.85,3,3.4325
75.05,-18.65,1,0
75.05,-18.55,1,1.236388888888889
75.05,-18.45,3,1.1833333333333333
75.05,-18.25,1,1.2977777777777777
75.05,-18.05,1,1.2025
75.05,-17.95,1,1.0830555555555557
75.05,-17.75,2,1.4972222222222222
75.05,-17.65,3,0
75.05,-17.55,2,2.484722222222222
75.05,-17.45,1,0
75.05,-16.85,1,0
75.05,-16.35,1,0
75.05,-16.15,1,1.1272222222222221
75.05,-15.649999999999999,1,1.065
75.05,-15.55,1,0
75.05,-15.350000000000001,1,0
75.05,-15.149999999999999,1,1.3138888888888889
75.05,-14.95,2,0
75.05,-14.45,1,1.0983333333333334
75.05,-14.149999999999999,1,0
75.05,-14.05,2,1.2641666666666667
75.05,-13.95,4,2.3194444444444446
75.05,-13.850000000000001,2,0
75.05,-13.75,2,0
75.05,-13.149999999999999,2,1.3802777777777777
75.05,-13.05,1,1.066111111111111
75.05,-12.95,3,2.3825000000000003
75.05,-12.75,7,6.8052777777777775
75.05,-12.649999999999999,4,3.3566666666666665
75.05,-12.55,2,1.1444444444444444
75.05,-12.45,4,2.4561111111111114
75.05,-12.350000000000001,6,3.4527777777777775
75.05,-12.25,10,9.546388888888892
75.05,-12.149999999999999,4,1.0802777777777777
75.05,-12.05,9,7.414999999999999
75.05,-11.95,6,3.4883333333333333
75.05,-11.850000000000001,9,4.433888888888889
75.05,-11.75,12,8.6525
75.05,-11.649999999999999,18,10.77638888888889
75.05,-11.55,5,4.622222222222223
75.05,-11.45,7,5.753611111111111
75.05,-11.350000000000001,11,6.612500000000001
75.05,-11.25,1,0
75.05,-11.149999999999999,2,1.1055555555555556
75.05,-11.05,1,0
75.05,-10.850000000000001,1,0
75.05,-10.75,4,1.0338888888888889
75.05,-10.649999999999999,3,5.150555555555555
75.05,-10.55,4,3.434166666666667
