lon,lat,unique_vessels,total_hours
75.05,-41.05,1,0
75.05,-38.75,1,0
75.05,-31.75,1,0
75.05,-31.25,1,0
75.05,-30.45,1,0
75.05,-30.15,1,0
75.05,-29.95,2,0
75.05,-29.65,1,0
75.05,-29.45,1,0
75.05,-29.15,1,0
75.05,-28.45,1,0
75.05,-27.65,1,0
75.05,-27.05,1,0
75.05,-25.25,2,1.158611111111111
75.05,-25.05,1,0
75.05,-24.55,1,1.1166666666666667
75.05,-23.85,1,1.1330555555555555
75.05,-23.75,1,0
75.05,-23.65,1,1.0727777777777778
75.05,-23.45,1,0
75.05,-23.35,1,0
75.05,-23.15,2,1.1494444444444445
75.05,-22.95,1,0
75.05,-22.85,1,0
75.05,-22.75,2,1.0241666666666667
75.05,-22.65,1,0
75.05,-22.55,1,0
75.05,-21.95,1,1.1725
75.05,-21.75,1,0
75.05,-21.55,1,0
75.05,-20.25,1,0
75.05,-19.55,1,0
75.05,-18.95,1,0
75.05,-18.35,1,0
75.05,-16.85,1,0
75.05,-13.649999999999999,1,0
75.05,-13.350000000000001,1,0
75.05,-12.850000000000001,1,0
75.05,-12.45,1,0
75.05,-12.149999999999999,2,0
75.05,-12.05,1,1.7933333333333332
75.05,-11.95,2,0
75.05,-11.850000000000001,2,0
75.05,-11.649999999999999,2,0
75.05,-11.45,1,1.4825
75.05,-11.149999999999999,2,6.222777777777777
75.05,-10.95,1,0
75.05,-10.75,1,0
75.05,-10.649999999999999,1,0
75.05,-10.149999999999999,1,0
75.05,-9.95,1,0
75.05,-9.75,3,0
75.05,-9.649999999999999,1,0
75.05,-9.25,1,0
75.05,-9.149999999999999,1,0
75.05,-9.05,1,0
75.05,-8.95,1,0
75.05,-8.75,1,0
75.05,-8.55,1,0
75.05,-8.45,1,0
75.05,-8.25,1,0
75.05,-7.85,2,0
75.05,-7.75,1,0
75.15,-34.95,1,0
75.15,-33.95,1,0
75.15,-29.25,2,1.125
75.15,-28.85,1,0
75.15,-28.65,1,0
75.15,-27.95,1,1.225
75.15,-26.45,1,0
75.15,-23.45,1,0
75.15,-23.15,1,0
75.15,-23.05,1,0
75.15,-22.05,1,0
75.15,-20.75,1,0
75.15,-18.45,1,0
75.15,-18.15,1,0
75.15,-17.95,1,0
75.15,-17.85,1,0
75.15,-13.45,1,0
75.15,-12.75,1,0
75.15,-12.649999999999999,1,0
75.15,-11.95,1,0
75.15,-11.850000000000001,1,0
75.15,-11.75,1,0
75.15,-11.649999999999999,1,0
75.15,-11.350000000000001,2,0
75.15,-11.25,1,0
75.15,-11.149999999999999,1,0
75.15,-11.05,1,0
75.15,-10.649999999999999,1,0
75.15,-9.649999999999999,2,0
75.15,-9.55,1,0
75.15,-9.350000000000001,1,0
75.15,-9.25,2,0
75.15,-9.149999999999999,1,0
75.15,-9.05,1,0
75.15,-8.95,1,1.1222222222222222
75.15,-8.55,2,0
75.15,-8.149999999999999,2,0
75.15,-7.65,1,0
75.15,-7.55,1,0
75.15,-6.95,1,0
75.25,-38.75,1,0
75.25,-30.15,1,0
75.25,-29.95,1,0
75.25,-29.85,6,3.508055555555556
75.25,-29.65,1,1.1752777777777779
75.25,-28.55,1,1.0655555555555556
75.25,-25.85,1,0
75.25,-25.15,1,0
75.25,-24.45,1,0
75.25,-23.95,1,1.0497222222222222
75.25,-23.85,2,0
75.25,-23.75,1,0
75.25,-23.55,1,0
75.25,-23.45,1,1.1388888888888888
75.25,-23.35,1,1.1280555555555556
75.25,-23.15,1,0
75.25,-23.05,2,0
75.25,-22.75,1,0
75.25,-22.25,1,1.1388888888888888
75.25,-21.95,1,0
75.25,-20.55,1,0
75.25,-19.75,1,0
75.25,-18.45,1,1.215
75.25,-18.15,1,0
75.25,-17.25,1,0
75.25,-13.25,1,1.053611111111111
75.25,-11.95,1,1.5916666666666666
75.25,-11.55,2,0
75.25,-11.45,2,0
75.25,-11.149999999999999,1,1.9522222222222223
75.25,-10.95,1,0
75.25,-9.95,1,0
75.25,-9.850000000000001,1,0
75.25,-9.75,3,1.2277777777777779
75.25,-9.649999999999999,4,0
75.25,-9.55,1,0
75.25,-9.45,1,0
75.25,-9.350000000000001,1,0
75.25,-9.25,1,0
75.25,-9.149999999999999,1,0
75.25,-8.95,2,0
75.25,-7.75,1,1.2166666666666666
75.25,-6.95,1,0
75.25,-6.35,1,0
75.35,-29.75,1,0
75.35,-29.15,1,0
75.35,-28.25,1,0
75.35,-27.95,1,0
75.35,-26.95,1,0
75.35,-24.65,1,0
75.35,-24.15,1,0
75.35,-23.35,1,0
75.35,-22.85,1,0
75.35,-20.15,1,1.111388888888889
75.35,-19.95,1,0
75.35,-18.45,1,0
75.35,-17.55,1,0
75.35,-16.95,1,0
75.35,-12.05,4,1.523611111111111
