lon,lat,unique_vessels,total_hours
74.95,-30.85,1,0
74.95,-27.15,1,1.0319444444444446
74.95,-26.25,1,1.1927777777777777
74.95,-23.05,1,1.0811111111111111
74.95,-21.35,1,0
74.95,-20.05,1,1.1002777777777777
74.95,-19.45,1,0
74.95,-18.45,1,1.136111111111111
74.95,-9.850000000000001,3,0
74.95,-9.75,1,0
74.95,-8.350000000000001,1,0
75.05,-66.05,1,4.871666666666667
75.05,-37.150000000000006,1,1.1416666666666666
75.05,-35.95,1,0
75.05,-35.650000000000006,2,2.7444444444444445
75.05,-34.75,1,0
75.05,-34.650000000000006,2,1.0161111111111112
75.05,-34.05,3,2.2127777777777777
75.05,-33.55,1,1.0277777777777777
75.05,-33.25,2,1.2525
75.05,-33.150000000000006,1,0
75.05,-32.849999999999994,1,0
75.05,-32.45,1,1.0777777777777777
75.05,-30.95,1,0
75.05,-30.85,1,0
75.05,-30.75,1,1.0361111111111112
75.05,-30.55,1,9.96111111111111
75.05,-30.45,1,3.71
75.05,-30.35,2,5.3005555555555555
75.05,-30.25,3,3.594444444444444
75.05,-30.15,2,7.286666666666667
75.05,-30.05,4,5.541388888888888
75.05,-29.95,1,0
75.05,-29.75,1,1.3522222222222222
75.05,-29.55,4,4.559444444444445
75.05,-29.45,3,1.0058333333333334
75.05,-29.35,2,1.0394444444444444
75.05,-29.25,3,2.818888888888889
75.05,-29.15,1,1.1391666666666667
75.05,-29.05,5,2.486388888888889
75.05,-28.95,2,1.1805555555555556
75.05,-28.85,1,0
75.05,-28.75,6,5.4925
75.05,-28.65,4,3.475277777777778
75.05,-28.55,2,2.3405555555555555
75.05,-28.45,4,4.5008333333333335
75.05,-28.35,1,1.0669444444444445
75.05,-28.25,1,1.1277777777777778
75.05,-28.15,1,1.1333333333333333
75.05,-28.05,2,0
75.05,-27.95,2,1.0977777777777777
75.05,-27.85,4,4.688888888888889
75.05,-27.55,1,1.013611111111111
75.05,-27.45,1,0
75.05,-27.35,4,4.866388888888889
75.05,-27.25,1,0
75.05,-27.15,3,2.4280555555555554
75.05,-26.85,1,1.0052777777777777
75.05,-26.65,1,1.1747222222222222
75.05,-26.55,3,2.2841666666666667
75.05,-26.45,1,1.1083333333333334
75.05,-26.35,2,0
75.05,-26.25,2,1.1222222222222222
75.05,-26.05,1,1.1613888888888888
75.05,-25.95,1,1.3108333333333333
75.05,-25.85,1,1.2144444444444444
75.05,-25.75,1,0
75.05,-25.35,2,2.2025
75.05,-25.25,1,1.663888888888889
75.05,-25.15,2,2.158888888888889
75.05,-24.95,1,1.258888888888889
75.05,-24.75,3,1.6394444444444445
75.05,-24.65,3,2.3616666666666664
75.05,-24.55,2,1.1277777777777778
75.05,-24.45,3,1.158611111111111
75.05,-24.35,2,1.0997222222222223
75.05,-24.25,2,2.2472222222222222
75.05,-24.15,1,0
75.05,-24.05,1,0
75.05,-23.95,2,1.0780555555555555
75.05,-23.85,3,1.3586111111111112
75.05,-23.75,5,3.752222222222222
75.05,-23.65,7,3.8633333333333333
75.05,-23.55,4,4.2219444444444445
75.05,-23.45,3,1.1808333333333334
75.05,-23.35,11,11.579722222222221
75.05,-23.25,7,6.858611111111111
75.05,-23.15,12,8.24138888888889
75.05,-23.05,5,2.8694444444444445
75.05,-22.95,6,4.493055555555555
75.05,-22.85,2,2.1333333333333333
75.05,-22.75,5,6.6725
75.05,-22.65,2,0
75.05,-22.35,5,3.291944444444445
75.05,-22.25,1,1.1058333333333332
75.05,-22.15,1,0
75.05,-21.95,4,2.230833333333333
75.05,-21.85,2,1.383888888888889
75.05,-21.65,2,2.5394444444444444
75.05,-21.55,2,2.3852777777777776
75.05,-21.45,1,0
75.05,-21.25,2,1.116111111111111
75.05,-21.15,1,0
75.05,-21.05,1,0
75.05,-20.95,2,0
75.05,-20.85,2,0
75.05,-20.75,1,1.361388888888889
75.05,-20.45,2,6.341666666666667
75.05,-20.25,3,3.935833333333333
75.05,-20.15,2,2.5411111111111113
75.05,-20.05,1,1.6391666666666667
75.05,-19.95,1,1.0516666666666667
75.05,-19.75,2,1.1691666666666667
75.05,-19.55,3,3.3080555555555557
75.05,-19.35,1,0
75.05,-19.25,1,1.1916666666666667
75.05,-19.05,2,0
75.05,-18.95,2,2.7944444444444443
75.05,-18.75,2,1.0744444444444445
75.05,-18.65,2,1.0061111111111112
75.05,-18.45,1,0
75.05,-18.05,2,1.133888888888889
75.05,-17.95,4,3.4802777777777782
75.05,-17.85,1,0
75.05,-17.75,3,2.5972222222222223
75.05,-17.65,5,1.8888888888888888
75.05,-17.55,3,1.3391666666666666
75.05,-17.35,2,1.3722222222222222
75.05,-17.25,1,0
75.05,-17.15,2,0
75.05,-17.05,1,0
75.05,-16.85,2,0
75.05,-16.75,1,0
75.05,-16.55,1,0
75.05,-16.45,1,0
75.05,-16.25,1,0
75.05,-15.850000000000001,1,2.3375
75.05,-15.75,3,1.0469444444444445
75.05,-15.55,1,1.1088888888888888
75.05,-15.05,3,7.144444444444444
75.05,-14.95,4,11.483888888888888
75.05,-14.850000000000001,2,2.745
75.05,-14.75,3,3.8583333333333334
75.05,-14.45,1,0
75.05,-14.05,2,1.1691666666666667
75.05,-13.55,1,1.1341666666666668
75.05,-13.149999999999999,1,0
75.05,-13.05,2,3.6922222222222225
75.05,-12.95,2,1.0191666666666668
75.05,-12.850000000000001,1,0
75.05,-12.75,1,1.1505555555555556
75.05,-12.649999999999999,2,0
75.05,-12.55,2,1.1752777777777779
75.05,-12.45,7,7.600833333333334
75.05,-12.350000000000001,6,2.2847222222222223
75.05,-12.25,2,2.1688888888888886
75.05,-12.149999999999999,6,2.0972222222222223
75.05,-12.05,3,3.4044444444444446
75.05,-11.95,7,5.139166666666666
75.05,-11.850000000000001,7,0
75.05,-11.75,9,3.613611111111111
75.05,-11.649999999999999,6,2.1527777777777777
75.05,-11.55,1,0
75.05,-11.45,6,0
75.05,-11.350000000000001,2,0
75.05,-11.25,6,2.08
75.05,-11.149999999999999,2,0
75.05,-11.05,2,0
75.05,-10.95,1,0
75.05,-10.850000000000001,3,1.2775
75.05,-10.75,3,2.368611111111111
75.05,-10.649999999999999,6,2.3558333333333334
75.05,-10.55,3,2.138888888888889
75.05,-10.45,3,0
75.05,-10.350000000000001,8,5.0055555555555555
75.05,-10.25,7,0
75.05,-10.149999999999999,11,9.768333333333334
75.05,-10.05,17,10.366111111111111
75.05,-9.95,35,17.048055555555553
75.05,-9.850000000000001,57,22.399722222222216
75.05,-9.75,70,18.91888888888889
75.05,-9.649999999999999,32,12.110277777777776
75.05,-9.55,16,8.639444444444445
75.05,-9.45,15,7.256388888888889
75.05,-9.350000000000001,20,2.1533333333333333
75.05,-9.25,30,20.970277777777778
75.05,-9.149999999999999,26,5.983611111111111
75.05,-9.05,29,11.815277777777778
75.05,-8.95,15,4.872222222222222
75.05,-8.850000000000001,9,3.6436111111111105
75.05,-8.75,20,13.027222222222225
75.05,-8.649999999999999,15,4.914722222222222
75.05,-8.55,23,16.40416666666667
75.05,-8.45,23,2.293611111111111
75.05,-8.350000000000001,13,6.768611111111111
75.05,-8.25,6,2.196944444444444
75.05,-8.149999999999999,10,2.109166666666667
75.05,-8.05,8,4.960555555555556
75.05,-7.95,7,7.203333333333333
75.05,-7.85,6,2.6574999999999998
75.05,-7.75,8,2.354166666666667
75.05,-7.65,5,1.4416666666666667
75.05,-7.55,7,1.0919444444444444
75.05,-7.45,11,5.011388888888889
75.05,-7.35,17,5.6530555555555555
75.05,-7.25,6,1.06
75.05,-7.15,7,2.6194444444444445
75.05,-7.05,3,1.6611111111111112
75.05,-6.95,9,2.2858333333333336
75.05,-6.85,3,1.2222222222222223
75.05,-6.75,3,2.7355555555555555
75.05,-6.55,1,1.2133333333333334
75.05,-6.45,3,0
75.05,-6.35,2,1.0858333333333334
75.05,-6.15,1,0
75.15,-55.45,1,0
75.15,-54.650000000000006,1,2.9755555555555557
75.15,-54.55,1,1.573888888888889
75.15,-53.849999999999994,1,1.1583333333333334
75.15,-42.849999999999994,1,1.2166666666666666
75.15,-35.55,1,0
75.15,-34.650000000000006,1,0
75.15,-34.55,1,0
75.15,-33.95,2,0
75.15,-32.75,1,0
75.15,-32.650000000000006,1,0
75.15,-32.25,1,0
75.15,-32.150000000000006,1,0
75.15,-31.45,1,0
75.15,-31.15,2,2.582222222222222
75.15,-31.05,1,0
75.15,-30.65,1,6.824722222222222
75.15,-30.45,3,7.665
75.15,-30.35,1,2.2258333333333336
75.15,-30.25,1,1.1980555555555557
75.15,-30.15,1,2.303888888888889
75.15,-30.05,1,6.035833333333334
75.15,-29.95,1,1.7780555555555555
75.15,-29.75,1,1.0022222222222221
75.15,-29.45,2,2.4116666666666666
75.15,-29.25,2,2.3547222222222226
75.15,-29.15,1,1.238611111111111
75.15,-29.05,1,2.272222222222222
75.15,-28.95,4,2.3219444444444446
75.15,-28.85,1,1.3302777777777777
75.15,-28.35,1,0
75.15,-28.05,1,1.0538888888888889
75.15,-27.95,1,0
75.15,-27.75,2,0
75.15,-27.25,1,1.1166666666666667
75.15,-26.95,1,0
75.15,-26.35,1,0
75.15,-25.95,1,0
75.15,-25.35,2,1.3311111111111111
75.15,-24.45,2,0
75.15,-24.05,1,0
75.15,-23.95,1,0
75.15,-23.85,1,0
75.15,-23.65,2,0
75.15,-23.55,1,0
75.15,-23.35,1,0
75.15,-23.25,5,3.2558333333333334
75.15,-23.15,3,0
75.15,-23.05,2,2.2222222222222223
75.15,-22.95,2,2.3555555555555556
75.15,-22.85,2,1.2055555555555555
75.15,-22.75,1,0
75.15,-22.45,1,0
75.15,-22.35,1,0
75.15,-22.25,2,1.07
75.15,-22.15,1,1.211111111111111
75.15,-21.95,1,0
75.15,-21.85,1,1.1752777777777779
75.15,-21.65,1,1.041111111111111
75.15,-21.45,1,1.2152777777777777
75.15,-21.25,3,12.948611111111111
75.15,-21.15,2,5.520555555555555
75.15,-21.05,1,7.414722222222222
75.15,-20.75,2,0
75.15,-20.55,1,3.7780555555555555
75.15,-20.45,1,2.9025
75.15,-20.35,1,1.701111111111111
75.15,-20.25,2,6.343055555555555
75.15,-20.05,1,1.1525
75.15,-19.35,1,0
75.15,-19.25,1,1.7030555555555555
75.15,-19.15,2,0
75.15,-19.05,2,3.634444444444444
75.15,-18.95,1,2.5894444444444447
75.15,-18.85,1,0
75.15,-18.75,1,3.582222222222222
75.15,-18.55,1,0
75.15,-18.45,1,0
75.15,-18.15,1,1.3366666666666667
75.15,-18.05,3,0
75.15,-17.95,1,1.4166666666666667
75.15,-17.85,5,2.1805555555555554
75.15,-17.75,2,1.1441666666666668
75.15,-17.65,3,1.2252777777777777
75.15,-17.55,4,0
75.15,-17.25,1,1.6888888888888889
75.15,-16.95,1,0
75.15,-16.55,1,0
75.15,-16.35,1,1.6913888888888888
75.15,-16.15,1,0
75.15,-15.95,1,1.1611111111111112
75.15,-15.75,1,1.4147222222222222
75.15,-15.05,2,5.223888888888888
75.15,-14.95,2,2.5441666666666665
75.15,-14.850000000000001,3,6.571944444444444
75.15,-14.149999999999999,1,0
75.15,-14.05,1,0
75.15,-13.95,1,1.0941666666666667
75.15,-13.850000000000001,1,1.6972222222222222
75.15,-13.45,1,1.6777777777777778
75.15,-13.25,2,4.002222222222223
75.15,-13.149999999999999,1,3.278611111111111
75.15,-13.05,2,4.7875
75.15,-12.95,4,9.4525
75.15,-12.850000000000001,1,1.3066666666666666
75.15,-12.649999999999999,1,0
75.15,-12.55,2,3.355277777777778
75.15,-12.45,1,1.0663888888888888
75.15,-12.350000000000001,1,0
75.15,-12.25,2,1.2863888888888888
75.15,-12.149999999999999,3,5.659999999999999
75.15,-12.05,3,0
75.15,-11.95,6,1.1719444444444445
75.15,-11.75,5,0
75.15,-11.649999999999999,5,1.1008333333333333
75.15,-11.55,4,2.4833333333333334
75.15,-11.45,2,0
75.15,-11.350000000000001,3,1.275
75.15,-11.149999999999999,3,2.4477777777777776
75.15,-11.05,3,1.0622222222222222
75.15,-10.95,2,0
75.15,-10.850000000000001,1,0
75.15,-10.75,3,0
75.15,-10.649999999999999,4,1.5327777777777778
75.15,-10.55,1,0
75.15,-10.45,6,2.7888888888888888
75.15,-10.350000000000001,4,1.0802777777777777
75.15,-10.25,3,1.2502777777777778
75.15,-10.149999999999999,8,3.5638888888888887
75.15,-10.05,7,3.833055555555555
75.15,-9.95,12,7.440277777777777
75.15,-9.850000000000001,36,16.34111111111111
75.15,-9.75,33,12.241111111111111
75.15,-9.649999999999999,57,10.03
75.15,-9.55,12,4.894444444444445
75.15,-9.45,16,8.93138888888889
75.15,-9.350000000000001,10,10.235277777777778
75.15,-9.25,9,2.511111111111111
75.15,-9.149999999999999,22,7.355555555555556
75.15,-9.05,21,2.4005555555555556
75.15,-8.95,18,10.196111111111112
75.15,-8.850000000000001,17,2.243888888888889
75.15,-8.75,5,2.721111111111111
75.15,-8.649999999999999,18,8.444722222222222
75.15,-8.55,17,7.087777777777777
75.15,-8.45,18,5.575277777777778
75.15,-8.350000000000001,18,4.886388888888889
75.15,-8.25,8,3.149722222222222
75.15,-8.149999999999999,9,5.875
75.15,-8.05,6,2.25
75.15,-7.95,2,1.2472222222222222
75.15,-7.85,5,2.163333333333333
75.15,-7.75,8,4.597777777777778
75.15,-7.65,5,2.2155555555555555
75.15,-7.55,9,2.4588888888888887
75.15,-7.45,10,4.142222222222222
75.15,-7.35,14,2.3305555555555557
75.15,-7.25,9,1.3002777777777779
75.15,-7.15,6,2.250277777777778
75.15,-7.05,6,3.481111111111111
75.15,-6.95,3,2.478888888888889
75.15,-6.85,5,3.3652777777777776
75.15,-6.75,4,4.325277777777778
75.15,-6.65,2,1.6755555555555555
75.15,-6.55,2,0
75.15,-5.75,1,1.2966666666666666
75.25,-55.05,1,0
75.25,-35.650000000000006,2,2.167222222222222
75.25,-34.650000000000006,2,1.0108333333333333
75.25,-34.05,1,1.25
75.25,-33.45,1,1.0330555555555556
