lon,lat,unique_vessels,total_hours
75.05,-53.849999999999994,1,1.4502777777777778
75.05,-33.849999999999994,1,0
75.05,-33.75,1,1.2833333333333334
75.05,-33.55,2,1.6119444444444444
75.05,-33.45,2,2.3733333333333335
75.05,-33.349999999999994,1,0
75.05,-33.25,2,3.7816666666666667
75.05,-33.150000000000006,2,3.899166666666667
75.05,-33.05,2,8.823333333333332
75.05,-32.95,5,11.083055555555557
75.05,-32.849999999999994,1,2.3975
75.05,-32.75,1,2.2758333333333334
75.05,-32.05,1,0
75.05,-31.95,2,1.011388888888889
75.05,-30.65,1,1.1416666666666666
75.05,-29.95,5,4.446944444444444
75.05,-29.65,1,1.0963888888888889
75.05,-29.55,4,3.557777777777778
75.05,-29.45,2,2.5275
75.05,-29.25,1,0
75.05,-29.15,1,1.26
75.05,-28.95,2,2.238611111111111
75.05,-28.85,2,1.1775
75.05,-28.75,4,3.4375
75.05,-28.65,1,1.188611111111111
75.05,-28.55,2,2.1908333333333334
75.05,-28.45,3,2.168611111111111
75.05,-27.95,4,5.289444444444444
75.05,-27.85,1,2.6558333333333333
75.05,-27.75,1,1.1716666666666666
75.05,-27.55,1,1.0444444444444445
75.05,-27.45,3,4.216944444444445
75.05,-27.35,1,0
75.05,-27.05,1,1.0361111111111112
75.05,-26.95,3,2.8169444444444443
75.05,-26.75,2,0
75.05,-26.55,5,4.908888888888889
75.05,-26.45,2,2.3166666666666664
75.05,-26.05,1,1.1277777777777778
75.05,-25.95,2,2.1577777777777776
75.05,-25.85,2,2.1691666666666665
75.05,-25.75,2,0
75.05,-25.65,1,1.2441666666666666
75.05,-25.55,3,1.0638888888888889
75.05,-25.45,3,3.6738888888888894
75.05,-25.15,1,0
75.05,-25.05,3,2.191111111111111
75.05,-24.95,1,1.3583333333333334
75.05,-24.85,2,2.3419444444444446
75.05,-24.55,1,1.1697222222222223
75.05,-24.35,4,3.763333333333333
75.05,-24.05,3,4.5088888888888885
75.05,-23.95,2,2.31
75.05,-23.85,3,3.196111111111111
75.05,-23.75,3,2.3883333333333336
75.05,-23.65,4,2.223888888888889
75.05,-23.55,1,1.186388888888889
75.05,-23.45,4,3.211388888888889
75.05,-23.35,5,4.378055555555555
75.05,-23.25,7,6.680277777777777
75.05,-23.15,6,5.519722222222223
75.05,-23.05,1,1.1472222222222221
75.05,-22.85,1,0
75.05,-22.75,5,4.586111111111111
75.05,-22.65,2,2.588611111111111
75.05,-22.55,3,1.3302777777777777
75.05,-22.45,4,3.485833333333334
75.05,-22.35,1,1.433888888888889
75.05,-22.25,3,2.2972222222222225
75.05,-22.05,1,1.0808333333333333
75.05,-21.95,2,2.488888888888889
75.05,-21.75,2,1.1336111111111111
75.05,-21.65,1,0
75.05,-21.35,1,0
75.05,-20.65,4,3.3247222222222224
75.05,-20.55,1,1.076111111111111
75.05,-20.35,2,1.0386111111111112
75.05,-20.25,1,1.3222222222222222
75.05,-20.15,1,1.2194444444444446
75.05,-20.05,3,2.2088888888888887
75.05,-19.95,1,1.0355555555555556
75.05,-19.65,1,0
75.05,-19.55,1,1.1502777777777777
75.05,-19.45,1,1.4333333333333333
75.05,-19.25,1,1.2083333333333333
75.05,-19.15,3,3.4477777777777776
75.05,-19.05,1,1.0775
75.05,-18.85,1,1.0197222222222222
75.05,-18.65,1,0
75.05,-18.55,2,1.031388888888889
75.05,-18.45,2,2.381111111111111
75.05,-18.25,2,2.0886111111111108
75.05,-18.15,1,1.0061111111111112
75.05,-18.05,1,0
75.05,-17.85,2,1.6111111111111112
75.05,-17.75,2,1.063611111111111
75.05,-17.65,5,2.263888888888889
75.05,-17.55,2,1.0958333333333334
75.05,-17.45,3,0
75.05,-17.35,1,1.1194444444444445
75.05,-17.15,1,1.1944444444444444
75.05,-16.95,1,1.2638888888888888
75.05,-16.85,1,0
75.05,-16.75,1,0
75.05,-16.35,2,1.0319444444444446
75.05,-15.850000000000001,2,2.0555555555555554
75.05,-15.649999999999999,1,1.3305555555555555
