lon,lat,unique_vessels,total_hours
74.95,-23.85,1,0
74.95,-23.35,1,1.1002777777777777
74.95,-22.85,1,1.0055555555555555
74.95,-13.350000000000001,1,1.3252777777777778
74.95,-12.25,1,1.1002777777777777
74.95,-11.75,1,1.4008333333333334
74.95,-9.850000000000001,2,1.636111111111111
74.95,-9.25,1,0
74.95,-9.05,1,0
74.95,-8.55,2,1.4508333333333334
74.95,-8.350000000000001,1,0
74.95,-8.05,1,1.0772222222222223
74.95,-7.05,1,0
75.05,-37.650000000000006,1,1.1222222222222222
75.05,-36.150000000000006,1,0
75.05,-35.95,1,0
75.05,-34.650000000000006,1,1.1108333333333333
75.05,-33.650000000000006,2,0
75.05,-33.349999999999994,3,4.909166666666667
75.05,-33.25,1,4.144722222222223
75.05,-33.150000000000006,4,2.683888888888889
75.05,-32.55,1,2.7616666666666667
75.05,-32.45,1,6.238611111111111
75.05,-32.05,2,5.215277777777778
75.05,-31.95,2,2.5544444444444445
75.05,-31.85,2,2.1105555555555555
75.05,-31.75,3,1.2413888888888889
75.05,-31.55,1,0
75.05,-31.45,1,5.693333333333333
75.05,-31.15,3,2.5994444444444444
75.05,-31.05,1,0
75.05,-30.85,2,1.2025
75.05,-30.45,1,0
75.05,-30.35,1,1.02
75.05,-30.15,1,0
75.05,-29.95,2,1.0277777777777777
75.05,-29.85,2,1.0888888888888888
75.05,-29.75,1,1.6608333333333334
75.05,-29.45,3,2.717777777777778
75.05,-29.35,1,0
75.05,-29.25,2,1.5333333333333334
75.05,-28.85,1,1.1111111111111112
75.05,-28.75,1,1.1194444444444445
75.05,-28.65,2,1.455
75.05,-28.55,3,1.183888888888889
75.05,-28.35,1,0
75.05,-28.25,1,1.2141666666666666
75.05,-28.15,1,0
75.05,-27.95,2,1.2361111111111112
75.05,-27.65,2,1.6025
75.05,-27.35,1,1.0022222222222221
75.05,-27.05,1,1.5358333333333334
75.05,-26.95,2,0
75.05,-26.85,1,1.1580555555555556
75.05,-26.45,1,0
75.05,-26.35,1,1.1080555555555556
75.05,-26.15,2,0
75.05,-25.85,2,1.4613888888888888
75.05,-25.45,1,1.0141666666666667
75.05,-25.35,1,1.186388888888889
75.05,-25.25,1,1.4527777777777777
75.05,-25.15,1,1.1780555555555556
75.05,-24.95,1,1.2172222222222222
75.05,-24.85,2,1.1808333333333334
75.05,-24.75,2,2.154166666666667
75.05,-24.65,1,1.361388888888889
75.05,-24.45,2,0
75.05,-24.35,1,0
75.05,-24.25,2,1.5258333333333334
75.05,-24.15,1,1.4441666666666666
75.05,-24.05,1,1.0444444444444445
75.05,-23.95,3,2.8925
75.05,-23.85,4,1.5108333333333333
75.05,-23.75,6,6.0811111111111105
75.05,-23.65,5,2.0452777777777778
75.05,-23.55,2,2.0747222222222224
75.05,-23.45,3,1.0977777777777777
75.05,-23.35,10,8.024999999999999
75.05,-23.25,6,4.723055555555556
75.05,-23.15,6,4.107222222222222
75.05,-23.05,6,3.6861111111111113
75.05,-22.95,6,3.6883333333333335
75.05,-22.85,5,5.060833333333333
75.05,-22.75,2,0
75.05,-22.65,1,1.2305555555555556
75.05,-22.55,2,0
75.05,-22.45,3,2.5966666666666667
75.05,-22.35,1,1.0277777777777777
75.05,-22.25,1,0
75.05,-22.15,1,0
75.05,-22.05,3,1.7025
75.05,-21.95,1,1.2052777777777777
75.05,-21.85,2,0
75.05,-21.75,1,1.038888888888889
75.05,-21.55,1,1.0975
75.05,-21.45,2,1.5363888888888888
75.05,-21.25,3,0
75.05,-21.15,1,1.7661111111111112
75.05,-20.95,2,2.093611111111111
75.05,-20.85,1,1.4252777777777779
75.05,-20.75,3,1.5419444444444443
75.05,-20.55,1,1.4747222222222223
75.05,-20.35,2,1.2083333333333333
75.05,-20.25,3,0
75.05,-19.95,3,1.491111111111111
75.05,-19.55,1,0
75.05,-19.35,1,1.2752777777777777
75.05,-19.05,1,1.0286111111111111
75.05,-18.95,1,0
75.05,-18.85,1,0
75.05,-18.65,1,0
75.05,-18.45,2,1.3383333333333334
75.05,-18.35,1,1.4669444444444444
75.05,-18.25,2,1.2377777777777779
75.05,-18.15,2,0
75.05,-18.05,1,0
75.05,-17.95,3,2.4183333333333334
75.05,-17.85,5,4.175833333333333
75.05,-17.75,3,1.461111111111111
75.05,-17.65,3,2.0194444444444444
75.05,-17.55,4,1.5252777777777777
75.05,-17.45,1,0
75.05,-17.15,1,0
75.05,-16.95,2,0
75.05,-16.85,1,0
75.05,-16.75,1,0
75.05,-16.65,1,0
75.05,-16.55,1,0
75.05,-16.35,1,1.25
75.05,-16.15,2,1.061388888888889
75.05,-14.95,1,0
75.05,-14.350000000000001,1,0
75.05,-14.149999999999999,1,1.1552777777777778
75.05,-13.95,1,1.4827777777777778
75.05,-13.850000000000001,1,0
75.05,-13.75,1,1.091388888888889
75.05,-13.649999999999999,2,0
75.05,-13.45,1,0
75.05,-13.350000000000001,3,1.1197222222222223
75.05,-13.25,2,0
75.05,-13.05,1,0
75.05,-12.95,1,0
75.05,-12.75,1,0
75.05,-12.55,1,0
75.05,-12.45,1,0
75.05,-12.350000000000001,2,0
75.05,-12.25,5,2.741388888888889
75.05,-12.149999999999999,3,1.3666666666666667
75.05,-12.05,2,0
75.05,-11.95,1,0
75.05,-11.850000000000001,2,2.035
75.05,-11.75,5,2.350277777777778
75.05,-11.649999999999999,6,2.95
75.05,-11.55,2,1.2469444444444444
75.05,-11.45,4,1.2333333333333334
75.05,-11.350000000000001,1,0
75.05,-11.25,1,0
75.05,-11.149999999999999,1,0
75.05,-11.05,3,0
75.05,-10.95,2,0
75.05,-10.850000000000001,2,15.400555555555554
75.05,-10.75,1,10.716388888888888
75.05,-10.55,2,0
75.05,-10.45,3,0
75.05,-10.350000000000001,2,1.1333333333333333
75.05,-10.25,9,3.7397222222222224
75.05,-10.149999999999999,6,4.005833333333333
75.05,-10.05,10,2.421388888888889
75.05,-9.95,13,5.663333333333333
75.05,-9.850000000000001,30,6.511111111111111
75.05,-9.75,34,14.283333333333333
75.05,-9.649999999999999,12,2.1886111111111113
75.05,-9.55,10,2.5522222222222224
75.05,-9.45,20,5.553888888888888
75.05,-9.350000000000001,14,4.8741666666666665
75.05,-9.25,25,5.105555555555555
75.05,-9.149999999999999,26,7.054166666666667
75.05,-9.05,22,6.266666666666667
75.05,-8.95,16,4.275555555555555
75.05,-8.850000000000001,13,4.938055555555556
75.05,-8.75,17,7.988333333333333
75.05,-8.649999999999999,13,3.6441666666666666
75.05,-8.55,19,5.352222222222222
75.05,-8.45,20,3.9255555555555555
75.05,-8.350000000000001,12,7.2725
75.05,-8.25,8,0
75.05,-8.149999999999999,7,1.6527777777777777
75.05,-8.05,12,5.916666666666666
75.05,-7.95,14,2.6244444444444444
75.05,-7.85,7,1.1072222222222223
75.05,-7.75,15,5.211666666666666
75.05,-7.65,14,7.751111111111111
75.05,-7.55,15,4.848055555555556
75.05,-7.45,19,3.9477777777777776
75.05,-7.35,8,2.4944444444444445
75.05,-7.25,10,2.17
75.05,-7.15,13,1.1497222222222223
75.05,-7.05,6,1.1772222222222222
75.05,-6.95,5,1.2133333333333334
75.05,-6.85,6,1.0583333333333333
75.05,-6.75,3,0
75.05,-6.65,7,2.7608333333333333
75.05,-6.55,2,0
75.05,-6.45,2,0
75.05,-6.35,2,1.0638888888888889
75.05,-6.25,3,1.2266666666666666
75.05,-6.05,1,0
75.05,-5.95,1,0
75.15,-34.349999999999994,1,0
75.15,-34.150000000000006,1,0
75.15,-33.45,1,1.5758333333333334
75.15,-33.349999999999994,3,6.072222222222222
75.15,-33.25,1,1.2344444444444445
75.15,-33.150000000000006,1,1.5263888888888888
75.15,-33.05,1,1.6427777777777777
75.15,-32.95,1,0
75.15,-32.849999999999994,1,0
75.15,-32.650000000000006,2,1.0108333333333333
75.15,-32.55,2,15.254722222222224
75.15,-32.45,1,3.094444444444444
75.15,-32.349999999999994,1,0
75.15,-32.25,2,0
75.15,-32.150000000000006,1,4.606944444444444
75.15,-32.05,1,0
75.15,-31.85,1,0
75.15,-31.75,2,1.1425
75.15,-31.65,1,0
75.15,-31.45,2,2.280555555555556
75.15,-30.95,1,1.055
75.15,-30.75,1,0
75.15,-30.05,1,0
75.15,-29.95,1,1.066111111111111
